Consumer Demographics,Product Category,Foot Traffic,Promotion,Seasonal,Product Position,Sold Number of Products,Average Price,Average Competitor's Price,Revenue
Families,Clothing,Medium,No,No,Aisle,5158,21,20,96496
Seniors,Clothing,Low,No,No,Aisle,654,17,13,11118
Young adults,Electronics,Medium,Yes,Yes,End-cap,5853,41,37,245166
Families,Clothing,Low,Yes,Yes,Aisle,4557,42,39,191394
College students,Clothing,Medium,No,Yes,End-cap,9032,28,26,276999
Seniors,Clothing,Medium,No,No,End-cap,6623,28,27,169327
College students,Clothing,High,Yes,Yes,Front of Store,4434,41,39,178418
College students,Clothing,Low,No,No,Aisle,5212,24,21,131209
Families,Electronics,High,Yes,Yes,Aisle,4168,18,16,70992
Families,Electronics,High,No,Yes,Aisle,2072,42,38,88648
College students,Food,High,Yes,Yes,Aisle,10657,28,26,329420
College students,Food,Low,Yes,No,Aisle,7732,31,27,212935
Families,Food,Medium,Yes,Yes,Front of Store,2195,14,12,27045
Families,Food,Low,Yes,Yes,Aisle,5728,28,24,134392
Young adults,Clothing,Medium,No,No,End-cap,4083,26,25,99504
Young adults,Food,Medium,No,No,Aisle,2089,14,14,29246
Young adults,Food,Medium,Yes,Yes,Front of Store,4977,26,23,129539
College students,Clothing,High,No,Yes,Aisle,2321,19,14,44099
Young adults,Electronics,Low,No,No,End-cap,8127,33,31,258008
College students,Food,Medium,Yes,Yes,End-cap,6651,26,24,201533
Families,Clothing,Low,No,Yes,Front of Store,7758,32,30,261805
Young adults,Electronics,Medium,Yes,No,Aisle,3060,22,21,69090
Seniors,Electronics,Low,No,No,End-cap,6392,27,24,186198
Families,Food,Low,Yes,No,Front of Store,5322,34,31,158024
Seniors,Clothing,High,Yes,No,Front of Store,3995,36,33,141021
Young adults,Clothing,High,No,No,End-cap,1869,27,24,51849
College students,Clothing,Low,Yes,Yes,Front of Store,4750,26,24,128700
Families,Clothing,Low,No,No,Front of Store,8536,22,19,221793
Young adults,Food,Medium,Yes,No,Front of Store,9229,29,27,310673
College students,Electronics,Low,No,Yes,Front of Store,9290,33,30,294147
